IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362021,Sp,6,Male,High school graduate (including GED),Hispanic,midwest,3,2,1,1,1,1,1,1,2,4,1,2,1,2,1,2,1,1,1,2,1,1,1,1,4,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,03.5 to 10 mo,83,17,14,15,13,17,11,13,12
318135,Sp,6,Male,High school graduate (including GED),Hispanic,midwest,2,2,3,3,3,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,03.5 to 10 mo,68,22,11,11,11,14,10,11,11
318136,Sp,7,Female,High school graduate (including GED),Hispanic,midwest,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,70,21,11,12,14,12,11,10,11
318137,Sp,5,Female,Did not complete high school (no diploma),Hispanic,midwest,3,3,3,3,3,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,03.5 to 10 mo,78,25,13,13,15,13,13,11,13
318138,Sp,5,Male,High school graduate (including GED),Hispanic,midwest,1,1,2,2,2,2,3,3,1,1,1,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,2,2,3,3,2,2,4,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,4,3,3,3,2,2,2,2,2,03.5 to 10 mo,123,18,21,24,24,19,18,17,27
362030,Sp,7,Female,High school graduate (including GED),Hispanic,south,1,2,1,1,3,1,2,2,4,4,1,2,2,3,1,2,2,1,1,4,1,1,1,1,2,1,1,1,2,2,1,1,2,4,1,2,2,2,1,1,2,4,2,2,2,3,2,2,3,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,3,2,3,1,2,3,1,3,3,1,1,3,2,3,03.5 to 10 mo,105,21,19,13,17,23,13,20,22
362029,Sp,6,Female,High school graduate (including GED),Hispanic,south,1,1,1,1,2,1,2,1,3,2,2,2,1,3,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,77,15,16,12,10,15,11,13,10
369024,Sp,5,Male,Bachelor's degree or higher,Hispanic,west,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,3,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,3,2,3,3,1,3,1,1,1,1,2,2,1,2,2,1,1,03.5 to 10 mo,91,10,17,13,13,15,13,20,14
362126,Sp,6,Female,Bachelor's degree or higher,Hispanic,south,2,1,1,1,1,1,2,1,1,1,1,3,1,3,3,3,1,2,2,3,2,2,2,3,3,3,1,1,4,3,2,2,2,2,3,1,1,3,3,3,2,3,2,3,3,2,1,4,2,1,2,2,1,2,1,1,2,2,4,2,2,2,2,2,3,3,4,4,4,3,2,1,1,1,2,2,2,2,2,4,03.5 to 10 mo,139,12,22,24,22,23,19,29,19
362044,Sp,4,Male,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,1,1,2,2,2,3,1,4,3,3,1,3,1,3,3,1,2,3,3,3,1,1,3,3,3,3,3,3,3,1,1,2,2,4,1,3,2,3,3,2,1,1,2,1,3,3,1,2,1,1,2,4,4,3,3,3,3,2,3,3,4,2,3,3,1,1,2,1,1,1,2,1,1,4,03.5 to 10 mo,144,12,24,23,25,19,24,29,15
