IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
141008,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,1,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,67,19,11,11,12,11,10,12,12
141009,SM,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,3,2,1,2,1,1,2,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,90,18,14,16,12,18,17,13,11
141012,SM,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,1,1,4,3,3,1,4,1,3,2,4,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,1,1,4,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,94,23,23,17,15,11,17,11,14
141011,SM,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,2,3,1,2,2,3,3,3,2,1,3,3,1,2,2,2,2,2,3,3,2,3,3,3,2,3,2,4,3,3,2,2,3,1,3,2,1,2,3,2,3,4,2,4,3,2,3,2,3,3,2,3,2,3,2,3,3,1,2,2,2,2,3,2,3,2,2,2,1,2,2,3,3,3,3,2,2,3,2,2,145,22,23,28,21,29,23,21,25
141017,SM,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,4,1,2,3,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,4,3,2,2,2,1,1,1,2,2,2,3,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,3,2,2,2,2,1,1,1,1,2,1,110,21,17,20,20,20,15,18,15
141010,SM,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,1,2,3,2,1,3,2,2,2,2,3,2,1,1,2,2,1,2,3,2,1,1,3,2,3,2,1,2,1,2,1,1,1,1,2,2,3,2,3,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,97,15,20,20,14,20,11,12,18
141015,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,3,2,1,1,3,2,2,2,1,1,2,1,1,1,1,1,2,3,2,1,2,1,2,2,1,2,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,1,2,1,1,4,2,83,18,15,20,14,11,12,11,19
141022,SM,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,1,2,2,1,2,2,2,2,3,2,2,2,1,2,2,1,2,3,2,1,2,1,2,1,2,2,1,1,2,3,2,3,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,115,21,16,24,20,19,17,19,18
141023,SM,23,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,76,12,10,16,12,17,11,10,12
141019,SM,24,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,2,3,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,3,4,2,1,1,1,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,4,3,2,1,1,1,2,1,2,1,2,2,3,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,2,1,2,3,1,99,18,18,16,23,15,15,12,16
141025,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,95,19,15,19,16,14,14,17,18
141014,SM,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,2,1,2,1,2,2,1,2,1,3,2,2,1,1,2,2,2,2,3,2,2,2,1,1,2,2,2,2,3,2,2,3,1,2,1,1,1,2,2,2,2,2,3,3,2,2,1,2,2,2,2,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,3,2,104,16,20,19,17,21,15,12,17
141033,SM,41,41.00 to 50.99 years,Female,Bachelor's degree or higher,White,south,2,3,1,2,2,3,3,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,73,22,11,12,14,13,12,11,14
141007,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,3,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,79,19,13,15,13,14,12,12,15
141031,SM,42,41.00 to 50.99 years,Male,Some college or associate degree,White,south,2,3,3,2,1,2,2,2,1,2,3,3,2,3,2,3,2,3,1,4,2,1,2,3,2,1,1,3,3,2,1,3,2,1,2,2,2,1,3,1,2,4,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,3,4,1,1,2,2,3,4,106,20,26,20,18,16,14,12,23
141030,SM,41,41.00 to 50.99 years,Female,Some college or associate degree,White,south,2,2,2,2,3,2,3,3,3,3,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,2,2,2,3,3,3,1,3,1,2,1,1,2,4,2,2,2,3,1,2,4,3,3,4,4,3,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,3,3,2,2,2,1,2,1,2,1,2,1,2,114,25,13,19,20,28,16,18,16
