scale,n,mean,sd
TOT_raw,617,73.53,15.94
SOC_raw,617,15.42,5.43
VIS_raw,617,13.6,3.55
HEA_raw,617,13.11,3.62
TOU_raw,617,11.43,2.45
TS_raw,617,11.22,2.52
BOD_raw,617,11.88,3.29
BAL_raw,617,12.28,3.19
PLA_raw,617,14.42,5.06
