scale,n,mean,sd
TOT_raw,900,79.78,17.45
SOC_raw,900,17.14,5.52
VIS_raw,900,13.17,3.45
HEA_raw,900,12.98,4
TOU_raw,900,13.61,3.47
TS_raw,900,14.17,3.92
BOD_raw,900,13.72,3.9
BAL_raw,900,12.14,2.85
PLA_raw,900,14.05,4.31
