AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,199,11,13.76,5.04,NA,1
14.00 to 15.99 years,173,11,13.48,4.65,-0.06,2
16.00 to 17.99 years,194,13,14.44,5.08,0.2,3
18.00 to 21.99 years,74,14,16.97,7.36,0.41,4
