scale,n,mean,sd
VIS_raw,957,16.6,5.06
HEA_raw,957,16.85,5.19
TOU_raw,957,15.41,4.18
TS_raw,957,17.21,5.07
BOD_raw,957,15.1,4.62
BAL_raw,957,14.05,4.25
TOT_raw,957,95.22,24.03
PLA_raw,957,16.24,4.97
SOC_raw,957,17.53,4.26
