scale,n,mean,sd
TOT_raw,934,95.7,24
SOC_raw,934,17.43,4.21
VIS_raw,934,16.68,5.06
HEA_raw,934,16.95,5.18
TOU_raw,934,15.5,4.2
TS_raw,934,17.29,5.04
BOD_raw,934,15.17,4.63
BAL_raw,934,14.11,4.27
PLA_raw,934,16.31,4.92
