scale,n,mean,sd
VIS_raw,645,11.63,3.58
HEA_raw,645,11.97,3.86
TOU_raw,645,11.15,3.07
TS_raw,645,11.54,3.51
BOD_raw,645,11.38,3.39
BAL_raw,645,11.38,3.46
TOT_raw,645,69.05,19.33
PLA_raw,645,13.99,4.98
SOC_raw,645,17.45,5.64
