age_range,n,median,mean,sd,ES,group
12 to 13 years,309,74,79.28,20.73,NA,1
14 to 15 years,332,72,79.3,22.65,0,2
16 to 17 years,343,71,77.77,20.09,-0.07,3
18 to 21 years,99,70,81.46,25.44,0.16,4
