age_range,n,median,mean,sd,ES,group
12 to 13 years,274,93,96.56,24.26,NA,1
14 to 15 years,267,88,93.18,25.1,-0.14,2
16 to 17 years,324,91,93.61,22.73,0.02,3
18 to 21 years,137,95,99.31,27.79,0.23,4
