scale,n,mean,sd
TOT_raw,621,69.21,19.55
SOC_raw,621,17.33,5.69
VIS_raw,621,11.64,3.64
HEA_raw,621,12,3.87
TOU_raw,621,11.18,3.1
TS_raw,621,11.6,3.57
BOD_raw,621,11.39,3.43
BAL_raw,621,11.4,3.48
PLA_raw,621,14.03,5.02
