scale,n,mean,sd
TOT_raw,1014,78.93,21.14
SOC_raw,1014,17.44,4.87
VIS_raw,1014,13.23,4.05
HEA_raw,1014,13.16,4.17
TOU_raw,1014,12.86,3.97
TS_raw,1014,14.64,4.53
BOD_raw,1014,12.96,4.12
BAL_raw,1014,12.08,3.82
PLA_raw,1014,14.43,5.25
