data,age_range,n,median,mean,sd,ES,group
Qual,12 to 13 years,34,81,86.29,23.62,NA,1
Qual,14 to 15 years,93,78,85.39,26.47,-0.04,2
Qual,16 to 17 years,103,74,82.27,22.88,-0.13,3
Qual,18 to 21 years,13,76,87.77,23.94,0.23,4
SM,12 to 13 years,275,73,78.41,20.22,NA,1
SM,14 to 15 years,239,71,76.93,20.56,-0.07,2
SM,16 to 17 years,240,70,75.84,18.49,-0.06,3
SM,18 to 21 years,86,69.5,80.51,25.65,0.21,4
