Variable,Category,n
data,SM,441
,In-house-Eng,7
Age,2,84
,3,141
,4,223
Gender,Male,212
,Female,236
Ethnicity,Hispanic,57
,Asian,12
,Black,72
,White,274
,MultiRacial,26
,Other,7
Region,northeast,93
,midwest,114
,south,179
,west,62
