scale,n,mean,sd
VIS_raw,91,12.38,2.86
HEA_raw,91,12.81,3.35
TOU_raw,91,11.82,2.59
TS_raw,91,11.37,3.33
BOD_raw,91,12.07,3.69
BAL_raw,91,11.53,2.78
TOT_raw,91,71.99,15.64
PLA_raw,91,13.03,4.05
SOC_raw,91,16.24,5.43
