scale,n,mean,sd
TOT_raw,78,71.86,16.4
SOC_raw,78,15.87,5.14
VIS_raw,78,12.32,3.02
HEA_raw,78,12.85,3.47
TOU_raw,78,11.72,2.73
TS_raw,78,11.38,3.48
BOD_raw,78,11.96,3.55
BAL_raw,78,11.63,2.91
PLA_raw,78,13.03,4.11
