scale,n,mean,sd
VIS_raw,445,15.99,4.56
HEA_raw,445,15.67,5
TOU_raw,445,14.57,4.11
TS_raw,445,13.94,3.82
BOD_raw,445,16.01,4.85
BAL_raw,445,12.93,3.19
TOT_raw,445,89.12,20.76
PLA_raw,445,15.31,4.59
SOC_raw,445,19.87,5.35
