scale,n,mean,sd
VIS_raw,448,13.95,3.99
HEA_raw,448,13.93,4.2
TOU_raw,448,13.06,3.74
TS_raw,448,11.96,3.09
BOD_raw,448,13.12,4.08
BAL_raw,448,12.35,3.31
TOT_raw,448,78.39,19.47
PLA_raw,448,14.93,4.76
SOC_raw,448,19.06,5.93
