scale,n,mean,sd
TOT_raw,75,87.17,27.88
SOC_raw,75,17.4,5.85
VIS_raw,75,15.59,5.58
HEA_raw,75,14.57,5.46
TOU_raw,75,13.95,5.13
TS_raw,75,14.81,4.84
BOD_raw,75,14.87,5.49
BAL_raw,75,13.39,4.65
PLA_raw,75,14.47,4.8
