AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,219,16,16.8,3.71,NA,1
14.00 to 15.99 years,192,16,16.45,4.35,-0.09,2
16.00 to 17.99 years,197,17,16.92,4.45,0.11,3
18.00 to 21.99 years,81,18,18.36,5.72,0.28,4
