AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,199,16,17.07,5.25,NA,1
14.00 to 15.99 years,173,16,16.86,5.48,-0.04,2
16.00 to 17.99 years,194,17,17.49,5.82,0.11,3
18.00 to 21.99 years,74,20,18.68,5.65,0.21,4
