AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,219,16,16.12,5.01,NA,1
14.00 to 15.99 years,192,14,15.34,5,-0.16,2
16.00 to 17.99 years,197,15,15.52,4.76,0.04,3
18.00 to 21.99 years,81,17,18.11,6.62,0.46,4
