AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,222,15.5,16.31,4.02,NA,1
14.00 to 15.99 years,205,16,16.23,4.46,-0.02,2
16.00 to 17.99 years,204,16,16.49,4.66,0.06,3
18.00 to 21.99 years,79,17,18.03,5.56,0.3,4
