AgeGroup,n,median,mean,sd,ES,group
12.00 to 13.99,222,13,14.5,4.82,NA,1
14.00 to 15.99 years,205,12,13.95,4.71,-0.12,2
16.00 to 17.99 years,204,13,14.15,4.78,0.04,3
18.00 to 21.99 years,79,13,16.44,7.34,0.38,4
