Variable,Category,n
age_range,12 to 13 years,224
,14 to 15 years,202
,16 to 17 years,210
,18 to 21 years,65
Gender,Male,363
,Female,338
Ethnicity,Hispanic,145
,Asian,11
,Black,206
,White,292
,AmericanIndAlaskanNat,7
,NativeHawPacIsl,3
,MultiRacial,27
,Other,10
Region,(missing),1
,northeast,72
,midwest,235
,south,240
,west,153
