scale,n,mean,sd
TOT_raw,701,69.82,20.75
SOC_raw,701,17.4,5.73
VIS_raw,701,11.72,3.83
HEA_raw,701,12.08,3.99
TOU_raw,701,11.33,3.46
TS_raw,701,11.72,3.72
BOD_raw,701,11.5,3.66
BAL_raw,701,11.47,3.61
PLA_raw,701,14.13,5.11
