scale,n,mean,sd
TOT_raw,987,79.14,21.23
SOC_raw,987,17.33,4.81
VIS_raw,987,13.27,4.06
HEA_raw,987,13.19,4.2
TOU_raw,987,12.9,4
TS_raw,987,14.69,4.52
BOD_raw,987,12.99,4.15
BAL_raw,987,12.09,3.83
PLA_raw,987,14.48,5.25
