TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,42,24.2775,24.2775,,173,17,18.2,4.05
16,33,19.0751,43.3526,,,,,
17,25,14.4509,57.8035,,,,,
18,12,6.9364,64.7399,,,,,
19,20,11.5607,76.3006,,,,,
20,15,8.6705,84.9711,,,,,
21,5,2.8902,87.8613,,,,,
22,5,2.8902,90.7514,cutoff,,,,
23,3,1.7341,92.4855,,,,,
25,3,1.7341,94.2197,,,,,
26,1,0.578,94.7977,,,,,
27,2,1.1561,95.9538,,,,,
28,1,0.578,96.5318,,,,,
30,1,0.578,97.1098,,,,,
31,1,0.578,97.6879,,,,,
33,1,0.578,98.2659,,,,,
36,2,1.1561,99.422,,,,,
37,1,0.578,100,,,,,
