TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,31,29.2453,29.2453,,106,18,19.8,6.31
16,14,13.2075,42.4528,,,,,
17,7,6.6038,49.0566,,,,,
18,12,11.3208,60.3774,,,,,
19,5,4.717,65.0943,,,,,
20,4,3.7736,68.8679,,,,,
21,6,5.6604,74.5283,,,,,
22,5,4.717,79.2453,,,,,
23,2,1.8868,81.1321,,,,,
24,3,2.8302,83.9623,,,,,
25,1,0.9434,84.9057,,,,,
26,3,2.8302,87.7358,,,,,
27,2,1.8868,89.6226,cutoff,,,,
28,1,0.9434,90.566,,,,,
32,1,0.9434,91.5094,,,,,
33,1,0.9434,92.4528,,,,,
34,2,1.8868,94.3396,,,,,
35,1,0.9434,95.283,,,,,
36,1,0.9434,96.2264,,,,,
37,1,0.9434,97.1698,,,,,
38,1,0.9434,98.1132,,,,,
40,1,0.9434,99.0566,,,,,
42,1,0.9434,100,,,,,
