TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,42,24.7059,24.7059,,170,18,19.51,5.55
16,20,11.7647,36.4706,,,,,
17,16,9.4118,45.8824,,,,,
18,24,14.1176,60,,,,,
19,11,6.4706,66.4706,,,,,
20,9,5.2941,71.7647,,,,,
21,4,2.3529,74.1176,,,,,
22,8,4.7059,78.8235,,,,,
23,9,5.2941,84.1176,,,,,
24,6,3.5294,87.6471,,,,,
25,5,2.9412,90.5882,cutoff,,,,
27,2,1.1765,91.7647,,,,,
30,4,2.3529,94.1176,,,,,
31,2,1.1765,95.2941,,,,,
34,2,1.1765,96.4706,,,,,
37,2,1.1765,97.6471,,,,,
38,2,1.1765,98.8235,,,,,
41,1,0.5882,99.4118,,,,,
42,1,0.5882,100,,,,,
