IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
119107,SM,26,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,3,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,87,14,13,16,15,16,12,15,10
141007,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,2,2,2,3,1,2,2,2,1,1,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,3,2,2,3,1,3,2,2,3,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,117,19,21,24,21,17,15,19,24
141008,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,2,1,2,3,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,4,2,1,3,2,2,2,1,2,2,2,2,2,1,2,2,101,18,14,21,16,14,17,19,18
141009,SM,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,2,2,1,3,2,2,1,2,2,2,2,3,2,2,1,1,2,3,3,2,3,2,2,2,1,1,2,2,2,2,3,2,3,3,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,3,1,1,1,2,3,3,2,4,3,3,2,2,2,3,2,2,2,2,1,1,114,19,21,19,19,16,16,23,19
141010,SM,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,2,1,2,2,3,1,2,1,1,2,2,1,4,1,1,2,1,1,3,2,2,2,4,3,3,1,3,1,2,3,2,3,2,4,2,2,2,1,1,1,3,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,3,4,1,1,2,2,1,1,2,1,1,1,109,17,18,24,20,17,12,18,13
141011,SM,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,4,2,2,3,1,2,2,3,2,2,2,2,4,1,2,4,2,2,1,3,2,1,2,2,3,3,3,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,3,1,2,2,2,1,1,1,1,1,115,16,17,22,22,22,16,16,15
141012,SM,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,3,2,3,1,2,2,2,1,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,3,4,2,3,2,3,2,1,1,1,1,1,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,3,2,3,2,128,21,24,25,17,20,21,21,23
141013,SM,23,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,1,1,2,2,2,1,1,1,2,2,2,2,3,1,1,2,1,2,3,2,2,3,2,3,2,2,3,1,2,3,3,2,2,3,1,2,2,1,1,1,1,2,1,2,1,3,2,3,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,3,4,3,2,1,1,2,1,1,2,1,1,2,111,15,19,23,18,17,13,21,14
141014,SM,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,1,2,1,1,1,3,2,3,1,2,1,2,1,1,2,3,3,2,1,1,2,2,2,4,3,1,4,1,2,2,3,1,1,1,1,1,1,2,4,1,2,1,4,4,2,4,2,2,3,2,1,3,4,4,3,1,3,1,1,1,4,1,2,1,1,3,2,1,1,2,3,2,3,4,1,3,2,124,15,19,22,14,26,26,17,22
141015,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,2,2,3,3,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,3,2,1,2,1,2,3,3,3,4,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,1,2,1,2,2,92,19,15,24,15,14,13,11,18
