scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
VIS_raw,875,13.175,3.386,601,13.171,3.361,0.001
HEA_raw,875,12.991,4.009,601,13.088,4.137,-0.024
TOU_raw,875,13.584,3.43,601,13.631,3.448,-0.014
TS_raw,875,14.138,3.846,601,14.25,4.002,-0.028
BOD_raw,875,13.746,3.902,601,13.832,3.971,-0.022
BAL_raw,875,12.144,2.827,601,12.193,2.918,-0.017
TOT_raw,875,79.778,17.285,601,80.165,17.781,-0.022
PLA_raw,875,14.062,4.332,601,14.115,4.401,-0.012
SOC_raw,875,17.174,5.495,601,17.233,5.542,-0.011
