sample,n,Age,Male,Female,Some college or associate degree,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),White,Black,Asian,Hispanic,MultiRacial,Other,AmericanIndAlaskanNat,NativeHawPacIsl,northeast,midwest,south,west
full,1014,10,1,,1,,,,1,,,,,,,,1,,,
,,11,1,,1,,,,,1,,,,,,,,1,,
,,12,42,38,27,34,4,15,38,15,2,18,6,1,,,7,24,33,16
,,13,106,100,62,82,14,48,112,25,4,48,13,2,2,,23,48,78,57
,,14,80,84,57,44,16,47,82,27,3,42,6,2,2,,23,41,63,37
,,15,72,83,43,45,20,47,83,17,1,44,8,2,,,17,38,61,39
,,16,95,75,57,46,18,49,91,25,5,40,5,1,3,,19,40,75,36
,,17,87,67,44,39,20,51,72,31,1,35,12,1,2,,19,39,52,44
,,18,21,21,15,15,4,8,21,6,2,11,2,,,,4,11,13,14
,,19,13,5,9,1,1,7,8,2,,6,1,1,,,1,8,5,4
,,20,5,10,3,5,,7,4,2,2,4,1,1,,1,,,6,9
,,21,5,3,3,2,1,2,3,1,,3,,1,,,1,3,4,
60_perc,662,10,1,,1,,,,1,,,,,,,,1,,,
,,11,1,,1,,,,,1,,,,,,,,1,,
,,12,30,27,18,23,4,12,24,11,2,13,6,1,,,5,17,22,13
,,13,63,59,36,46,11,29,64,16,2,28,8,2,2,,13,31,44,34
,,14,54,52,35,26,14,31,47,19,2,29,5,2,2,,15,26,38,27
,,15,46,49,27,26,13,29,48,11,1,27,6,2,,,12,23,38,22
,,16,63,47,36,31,13,30,53,17,4,28,4,1,3,,13,26,45,26
,,17,55,45,27,24,15,34,41,21,1,23,11,1,2,,12,25,34,29
,,18,16,15,11,12,3,5,15,4,2,8,2,,,,3,8,9,11
,,19,12,4,7,1,1,7,7,2,,5,1,1,,,1,7,4,4
,,20,5,10,3,5,,7,4,2,2,4,1,1,,1,,,6,9
,,21,5,3,3,2,1,2,3,1,,3,,1,,,1,3,4,
