sample,n,Age,Female,Male,Asian,Black,Hispanic,MultiRacial,Other,White,AmericanIndAlaskanNat,NativeHawPacIsl,midwest,northeast,south,west,NA
full,645,12,27,32,2,13,8,2,1,33,,,20,5,31,3,
,,13,63,80,1,25,29,9,1,77,1,,37,19,53,33,1
,,14,56,44,2,23,29,3,2,39,2,,24,15,38,23,
,,15,48,42,2,15,27,1,2,43,,,25,9,37,19,
,,16,42,52,3,19,21,1,2,45,2,1,21,5,45,23,
,,17,51,54,,28,24,9,1,42,1,,28,14,29,34,
,,18,15,17,,7,9,2,,14,,,10,2,10,10,
,,19,3,5,,4,3,,,1,,,3,,3,2,
,,20,7,4,2,1,3,,,3,,2,,,3,8,
,,21,1,2,,1,2,,,,,,1,,2,,
60_perc,406,12,16,21,2,8,5,1,1,20,,,11,4,19,3,
,,13,38,48,1,15,17,5,1,46,1,,21,12,32,20,1
,,14,35,28,1,14,18,2,2,24,2,,15,9,23,16,
,,15,29,26,1,9,16,1,2,26,,,15,6,22,12,
,,16,26,34,2,12,14,1,1,27,2,1,14,3,27,16,
,,17,31,34,,17,14,7,1,25,1,,17,10,17,21,
,,18,10,11,,4,6,2,,9,,,6,2,7,6,
,,19,3,4,,3,3,,,1,,,3,,2,2,
,,20,5,4,1,1,3,,,2,,2,,,3,6,
,,21,1,2,,1,2,,,,,,1,,2,,
