sample,n,Female,Male,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),Some college or associate degree,AmericanIndAlaskanNat,Asian,Black,Hispanic,MultiRacial,NativeHawPacIsl,Other,White,midwest,northeast,south,west,NA
full,422,212,210,167,17,96,142,2,7,48,114,41,1,3,206,103,49,155,114,1
60_perc,365,186,179,139,17,88,121,2,7,48,100,37,1,3,167,90,46,129,99,1
