sample,n,age_range,Female,Male,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),Some college or associate degree,AmericanIndAlaskanNat,Asian,Black,Hispanic,MultiRacial,NativeHawPacIsl,Other,White,midwest,northeast,south,west,NA
full,604,21.00 to 30.99 years,116,69,112,5,30,38,1,18,17,36,6,1,1,105,15,28,67,75,
,,31.00 to 40.99 years,94,87,108,3,25,45,,13,10,34,8,,,116,28,21,71,60,1
,,41.00 to 50.99 years,48,58,45,9,31,21,,6,29,13,4,,2,52,30,16,33,27,
,,51.00 to 64.99 years,49,32,24,5,25,27,1,1,19,14,,1,,45,23,13,26,19,
,,65.00 to 99.99 years,23,28,15,6,15,15,,1,8,6,3,,1,32,11,6,15,19,
60_perc,377,21.00 to 30.99 years,67,44,64,4,19,24,1,11,11,24,5,1,1,57,9,17,40,45,
,,31.00 to 40.99 years,57,52,61,3,16,29,,8,8,21,7,,,65,18,15,38,37,1
,,41.00 to 50.99 years,32,37,27,7,19,16,,3,19,11,3,,2,31,19,10,21,19,
,,51.00 to 64.99 years,29,21,14,3,15,18,1,1,11,9,,1,,27,13,8,15,14,
,,65.00 to 99.99 years,17,21,10,5,12,11,,1,6,6,3,,1,21,9,4,11,14,
