sample,n,Age,Male,Female,Some college or associate degree,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),NA,Black,Asian,Hispanic,MultiRacial,Other,White,AmericanIndAlaskanNat,NativeHawPacIsl,midwest,northeast,south,west
full,957,11,1,,1,,,,,1,,,,,,,,1,,,
,,12,46,40,25,34,13,14,,16,2,23,4,1,40,,,27,7,34,18
,,13,91,80,42,73,22,33,1,27,3,43,8,1,88,1,,42,20,59,50
,,14,62,72,22,44,15,36,17,28,5,42,4,1,52,2,,30,19,50,35
,,15,54,68,19,35,13,34,21,14,3,36,3,3,63,,,27,12,45,38
,,16,87,61,14,47,17,28,42,23,9,39,3,1,68,4,1,32,13,61,42
,,17,81,85,15,41,28,33,49,36,3,38,10,3,75,1,,45,26,55,40
,,18,38,41,5,18,6,15,35,11,2,22,8,,36,,,17,9,34,19
,,19,8,6,3,,3,5,3,4,,4,,,6,,,7,1,4,2
,,20,8,14,4,4,,7,7,6,2,5,1,,7,,1,2,3,8,9
,,21,8,6,2,,1,9,2,6,,5,,,3,,,4,1,8,1
60_perc,665,11,1,,1,,,,,1,,,,,,,,1,,,
,,12,31,30,16,24,10,11,,12,2,17,4,1,25,,,20,5,22,14
,,13,56,49,24,43,15,22,1,17,2,27,7,1,50,1,,27,11,37,30
,,14,44,50,17,27,12,23,15,18,4,30,3,1,36,2,,22,14,33,25
,,15,38,42,14,19,9,23,15,11,3,24,3,3,36,,,17,9,31,23
,,16,60,46,11,32,13,20,30,17,8,28,3,1,44,4,1,22,9,43,32
,,17,55,59,11,26,19,24,34,25,3,26,9,3,47,1,,31,17,38,28
,,18,26,32,4,14,4,11,25,9,2,15,8,,24,,,12,6,24,16
,,19,8,6,3,,3,5,3,4,,4,,,6,,,7,1,4,2
,,20,7,13,4,4,,6,6,5,2,4,1,,7,,1,2,2,7,9
,,21,7,5,2,,1,7,2,4,,5,,,3,,,4,1,6,1
