sample,n,Age,Female,Male,Asian,Black,Hispanic,MultiRacial,Other,White,AmericanIndAlaskanNat,midwest,northeast,south,west
full,539,2,40,44,5,15,10,5,1,48,,16,21,42,5
,,3,76,65,2,27,11,6,3,92,,48,28,54,11
,,4,120,103,5,30,36,15,3,134,,50,44,83,46
,,5,46,45,1,27,10,5,,47,1,27,16,40,8
60_perc,333,2,23,28,4,8,5,4,1,29,,10,12,25,4
,,3,48,40,2,16,8,4,3,55,,30,18,33,7
,,4,75,60,4,19,21,9,2,80,,30,26,50,29
,,5,30,29,1,17,6,5,,29,1,17,11,25,6
