sample,n,Female,Male,Bachelor's degree or higher,Did not complete high school (no diploma),High school graduate (including GED),Some college or associate degree,Asian,Black,Hispanic,MultiRacial,Other,White,midwest,northeast,south,west
full,266,149,117,70,13,80,103,4,45,78,15,3,121,63,28,99,76
60_perc,204,110,94,54,12,64,74,4,37,58,15,3,87,47,25,76,56
