Variable,Category,n
data,SM,590
,Qual,88
Age,2,133
,3,189
,4,255
,5,101
Gender,Male,336
,Female,342
ParentHighestEducation,Did not complete high school (no diploma),25
,High school graduate (including GED),120
,Some college or associate degree,155
,Bachelor's degree or higher,378
Ethnicity,Hispanic,116
,Asian,14
,Black,101
,White,383
,AmericanIndAlaskanNat,1
,NativeHawPacIsl,2
,MultiRacial,52
,Other,9
Region,northeast,113
,midwest,163
,south,274
,west,128
