scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,539,77.306,19.018,333,78.345,20.254,0.053
SOC_raw,539,18.583,5.939,333,18.682,5.824,0.017
VIS_raw,539,13.688,3.863,333,13.874,4.041,0.047
HEA_raw,539,13.74,4.086,333,13.91,4.24,0.041
TOU_raw,539,12.855,3.604,333,13.042,3.718,0.051
TS_raw,539,11.863,3.134,333,12.06,3.463,0.06
BOD_raw,539,12.944,4.03,333,13.141,4.248,0.048
BAL_raw,539,12.215,3.239,333,12.318,3.425,0.031
PLA_raw,539,14.609,4.702,333,14.658,4.758,0.01
