scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,875,79.778,17.285,601,79.506,16.983,0.016
SOC_raw,875,17.174,5.495,601,17.161,5.479,0.002
VIS_raw,875,13.175,3.386,601,13.128,3.343,0.014
HEA_raw,875,12.991,4.009,601,13.038,4.021,0.012
TOU_raw,875,13.584,3.43,601,13.496,3.292,0.026
TS_raw,875,14.138,3.846,601,14.07,3.738,0.018
BOD_raw,875,13.746,3.902,601,13.709,3.938,0.01
BAL_raw,875,12.144,2.827,601,12.065,2.782,0.028
PLA_raw,875,14.062,4.332,601,14.005,4.27,0.013
