scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,520,88.842,21.912,340,90.685,22.476,0.083
SOC_raw,520,19.517,5.491,340,19.424,5.378,0.017
VIS_raw,520,15.935,4.717,340,16.282,4.723,0.074
HEA_raw,520,15.515,5.082,340,15.844,5.261,0.064
TOU_raw,520,14.479,4.272,340,14.876,4.557,0.091
TS_raw,520,14.065,3.991,340,14.365,4.087,0.074
BOD_raw,520,15.848,4.958,340,16.147,5.101,0.06
BAL_raw,520,13,3.438,340,13.171,3.52,0.049
PLA_raw,520,15.192,4.628,340,15.376,4.55,0.04
