scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,604,84.377,20.484,377,84.371,20.102,0
SOC_raw,604,16.679,4.556,377,16.698,4.562,0.004
VIS_raw,604,13.833,4.063,377,13.881,4.169,0.012
HEA_raw,604,15.043,4.532,377,14.997,4.413,0.01
TOU_raw,604,14.427,3.831,377,14.353,3.56,0.02
TS_raw,604,15.099,4.666,377,15.18,4.827,0.017
BOD_raw,604,12.909,3.608,377,12.968,3.673,0.016
BAL_raw,604,13.066,3.962,377,12.992,3.847,0.019
PLA_raw,604,14.566,4.534,377,14.536,4.389,0.007
