scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,266,90.038,13.513,204,89.696,13.481,0.025
SOC_raw,266,15.244,4.515,204,14.873,4.342,0.084
VIS_raw,266,20.256,4.485,204,20.353,4.691,0.021
HEA_raw,266,14.41,2.981,204,14.319,2.973,0.031
TOU_raw,266,14.579,2.926,204,14.426,2.924,0.052
TS_raw,266,11.891,2.556,204,11.892,2.603,0
BOD_raw,266,14.695,3.241,204,14.706,3.282,0.003
BAL_raw,266,14.207,3.233,204,14,3.125,0.065
PLA_raw,266,16.605,5.947,204,16.123,5.757,0.082
