scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,645,69.051,19.327,406,69.943,21.779,0.044
SOC_raw,645,17.448,5.642,406,17.35,5.746,0.017
VIS_raw,645,11.633,3.581,406,11.82,4.047,0.05
HEA_raw,645,11.971,3.855,406,12.126,4.275,0.039
TOU_raw,645,11.15,3.068,406,11.261,3.44,0.034
TS_raw,645,11.544,3.51,406,11.707,3.872,0.045
BOD_raw,645,11.375,3.393,406,11.522,3.813,0.041
BAL_raw,645,11.378,3.457,406,11.507,3.862,0.036
PLA_raw,645,13.994,4.979,406,14.207,5.241,0.042
