scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,422,88.36,15.664,365,88.57,15.894,0.013
SOC_raw,422,16.344,4.541,365,16.43,4.593,0.019
VIS_raw,422,15.86,3.664,365,16,3.717,0.038
HEA_raw,422,15.379,3.592,365,15.411,3.6,0.009
TOU_raw,422,14.595,3.204,365,14.605,3.19,0.003
TS_raw,422,13.164,3.084,365,13.09,3.084,0.024
BOD_raw,422,15.374,3.579,365,15.441,3.664,0.018
BAL_raw,422,13.988,3.313,365,14.022,3.43,0.01
PLA_raw,421,13.387,4.277,364,13.434,4.319,0.011
