scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,1014,78.925,21.141,662,79.258,21.412,0.016
SOC_raw,1014,17.441,4.87,662,17.579,4.922,0.028
VIS_raw,1014,13.228,4.045,662,13.216,4.015,0.003
HEA_raw,1014,13.158,4.168,662,13.228,4.141,0.017
TOU_raw,1014,12.86,3.971,662,12.905,3.994,0.011
TS_raw,1014,14.641,4.531,662,14.776,4.535,0.03
BOD_raw,1014,12.959,4.122,662,13.003,4.202,0.011
BAL_raw,1014,12.08,3.818,662,12.13,3.939,0.013
PLA_raw,1014,14.425,5.246,662,14.53,5.516,0.02
