scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,957,95.22,24.028,665,94.832,23.908,0.016
SOC_raw,957,17.526,4.257,665,17.806,4.346,0.065
VIS_raw,957,16.598,5.057,665,16.438,5.025,0.032
HEA_raw,957,16.853,5.188,665,16.895,5.141,0.008
TOU_raw,957,15.41,4.184,665,15.32,4.078,0.022
TS_raw,957,17.208,5.067,665,17.086,4.937,0.024
BOD_raw,957,15.103,4.615,665,15.069,4.736,0.007
BAL_raw,957,14.049,4.253,665,14.024,4.249,0.006
PLA_raw,957,16.242,4.968,665,16.265,5.001,0.004
