scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,617,73.525,15.94,390,73.205,15.714,0.02
SOC_raw,617,15.418,5.433,390,15.351,5.429,0.012
VIS_raw,617,13.603,3.553,390,13.495,3.513,0.031
HEA_raw,617,13.112,3.621,390,13.077,3.688,0.01
TOU_raw,617,11.429,2.455,390,11.395,2.407,0.014
TS_raw,617,11.222,2.518,390,11.174,2.311,0.02
BOD_raw,617,11.88,3.294,390,11.797,3.113,0.026
BAL_raw,617,12.279,3.187,390,12.267,3.162,0.004
PLA_raw,617,14.418,5.058,390,14.408,5.022,0.002
