IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362001,Sp,28,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,south,1,1,2,2,3,1,2,4,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,1,4,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,82,19,11,12,18,15,12,14,13
362015,Sp,30,21.00 to 30.99 years,Female,Some college or associate degree,Hispanic,northeast,2,2,2,1,3,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,4,2,4,1,3,1,1,1,1,1,3,3,1,1,2,2,2,2,2,3,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,1,1,1,93,18,12,15,19,19,14,14,15
362014,Sp,32,31.00 to 40.99 years,Male,Bachelor's degree or higher,Hispanic,northeast,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,1,3,1,1,1,1,1,3,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,3,1,1,2,1,2,1,1,1,1,1,1,1,84,14,11,13,16,18,11,15,12
362016,Sp,43,41.00 to 50.99 years,Male,High school graduate (including GED),Hispanic,south,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,84,14,14,15,14,15,12,14,11
318109,Sp,43,41.00 to 50.99 years,Female,High school graduate (including GED),Hispanic,midwest,2,3,2,3,3,2,2,2,3,2,2,2,2,2,3,2,3,2,1,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,3,123,24,20,22,20,21,20,20,20
362011,Sp,28,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,south,2,1,4,2,2,1,1,2,1,3,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,75,19,13,12,10,16,14,10,12
318110,Sp,45,41.00 to 50.99 years,Female,High school graduate (including GED),Hispanic,midwest,3,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,153,25,26,27,25,24,28,23,27
318111,Sp,22,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,midwest,2,3,2,3,1,2,2,2,2,2,2,2,3,2,4,2,3,2,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,4,3,2,2,3,1,1,1,2,2,2,1,1,2,2,3,1,2,2,2,3,2,2,3,2,2,3,3,3,2,2,3,2,3,2,3,2,138,21,25,24,25,24,17,23,25
318112,Sp,21,21.00 to 30.99 years,Female,Did not complete high school (no diploma),Hispanic,midwest,2,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,3,3,2,3,4,3,3,2,2,3,3,3,2,3,2,2,2,3,4,3,3,2,4,2,2,3,2,2,4,4,3,3,1,1,1,2,1,157,26,27,26,23,29,24,28,22
362017,Sp,39,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,northeast,1,1,2,2,2,1,1,1,2,3,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,3,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,3,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,1,91,16,15,16,16,14,13,17,15
362022,Sp,55,51.00 to 64.99 years,Female,Bachelor's degree or higher,Hispanic,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,3,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,2,3,1,1,2,1,1,75,11,10,14,14,13,11,13,16
362020,Sp,22,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,midwest,1,1,3,2,2,1,2,3,4,3,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,75,22,12,14,15,13,11,10,12
318114,Sp,48,41.00 to 50.99 years,Male,Did not complete high school (no diploma),Hispanic,midwest,2,2,2,3,3,2,2,1,1,4,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,1,2,3,2,2,2,2,105,22,15,17,15,17,21,20,19
318115,Sp,29,21.00 to 30.99 years,Male,High school graduate (including GED),Hispanic,midwest,3,3,2,3,4,1,1,1,2,3,2,2,2,2,1,1,2,3,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,122,23,19,16,22,26,21,18,19
318116,Sp,24,21.00 to 30.99 years,Male,Did not complete high school (no diploma),Hispanic,midwest,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,1,1,4,2,3,3,3,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,136,23,24,24,23,22,22,21,13
362023,Sp,35,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,south,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,3,2,3,1,4,1,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,3,1,3,3,4,4,4,3,3,3,84,11,15,14,17,14,10,14,31
362010,Sp,21,21.00 to 30.99 years,Female,High school graduate (including GED),Hispanic,south,1,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,3,2,3,2,2,1,2,3,1,4,1,1,1,1,1,1,3,3,1,2,3,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,3,2,2,2,3,1,1,1,1,1,2,1,2,1,1,103,16,11,20,16,19,17,20,12
371004,Sp,32,31.00 to 40.99 years,Female,High school graduate (including GED),Hispanic,west,2,3,3,1,4,3,1,1,1,3,2,1,4,1,1,1,1,1,2,3,3,4,2,2,3,1,2,4,1,3,1,3,2,2,1,2,2,1,1,3,1,4,4,3,2,1,2,2,1,2,3,1,1,1,1,1,1,1,1,2,2,3,2,1,4,4,1,4,3,2,3,1,1,4,2,2,2,2,3,2,121,22,17,25,18,22,13,26,22
