scale,n,mean,sd
TOT_raw,412,78.69,19.77
SOC_raw,412,19.18,6
VIS_raw,412,14.01,4.02
HEA_raw,412,14.03,4.31
TOU_raw,412,13.16,3.83
TS_raw,412,11.96,3.09
BOD_raw,412,13.12,4.09
BAL_raw,412,12.43,3.28
PLA_raw,412,15.11,4.85
