age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
2 to 4 years,499,86.24,18.83,NA,78,98.51,22.69,NA,-12.27,-0.59
5 years,91,84.21,23.34,-0.1,10,99.2,36.66,0.02,-14.99,-0.5
