ID,SOC_TS,VIS_TC,HEA_TS,TOU_TS,BOD_TS,BAL_TS,PLA_TS,TOT_TS
178011,40,40,40,40,40,42,40,40
178014,63,66,63,71,50,64,65,67
178013,50,66,52,49,50,42,55,58
178067,63,67,78,64,65,70,75,71
178068,40,40,40,43,40,42,40,40
178069,40,40,40,53,57,42,40,48
198001,47,53,52,46,46,42,40,47
198002,59,58,60,60,10,64,58,59
198005,40,44,40,40,40,40,45,40
198007,54,49,59,55,40,40,40,51
198008,51,60,61,55,68,71,67,63
198009,47,58,47,46,60,50,48,55
214002,50,40,40,43,50,42,40,40
214003,59,56,52,68,57,42,52,61
214017,52,53,55,40,40,50,40,46
214021,63,69,64,63,62,55,67,65
214024,66,47,47,64,57,56,52,56
215006,66,53,52,53,40,42,52,48
215014,73,62,63,53,54,64,67,61
216001,40,50,66,46,46,42,40,52
216003,44,61,55,58,58,67,55,60
216004,56,62,63,49,60,50,58,59
216005,47,53,47,43,46,42,48,46
216011,44,56,47,43,40,50,40,46
216012,54,50,60,40,40,42,40,47
216017,59,60,66,58,46,62,40,60
216041,40,53,47,49,54,55,52,52
216044,44,40,55,43,50,42,48,43
216051,59,53,55,66,57,55,55,60
219001,40,56,40,40,57,42,40,47
383039,40,80,76,77,80,80,71,80
383040,40,47,40,40,54,50,40,43
383041,40,53,40,43,54,50,40,47
383042,54,69,55,67,50,42,55,63
383043,40,62,47,49,40,42,52,50
