TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
18,171,18.6885,18.6885,,915,21,22.65,5.45
19,128,13.9891,32.6776,,,,,
20,124,13.5519,46.2295,,,,,
21,100,10.929,57.1585,,,,,
22,78,8.5246,65.6831,,,,,
23,45,4.918,70.6011,,,,,
24,46,5.0273,75.6284,,,,,
25,38,4.153,79.7814,,,,,
26,36,3.9344,83.7158,,,,,
27,25,2.7322,86.4481,,,,,
28,14,1.5301,87.9781,,,,,
29,16,1.7486,89.7268,cutoff,,,,
30,6,0.6557,90.3825,,,,,
31,16,1.7486,92.1311,,,,,
32,14,1.5301,93.6612,,,,,
33,10,1.0929,94.7541,,,,,
34,2,0.2186,94.9727,,,,,
35,2,0.2186,95.1913,,,,,
36,6,0.6557,95.847,,,,,
37,3,0.3279,96.1749,,,,,
38,5,0.5464,96.7213,,,,,
39,1,0.1093,96.8306,,,,,
40,5,0.5464,97.377,,,,,
41,7,0.765,98.1421,,,,,
42,6,0.6557,98.7978,,,,,
43,5,0.5464,99.3443,,,,,
44,6,0.6557,100,,,,,
