T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,157--240,31--40,34--40,28--40,-,25--40,34--40,30--40,-
73,-,-,-,-,26--40,-,-,-,34--40
72,144--156,-,33,26--27,-,-,27--33,28--29,-
71,133--143,29--30,32,-,-,23--24,23--26,25--27,-
70,130--132,-,30--31,25,22--25,22,-,24,33
69,123--129,28,-,-,-,20--21,21--22,-,-
68,122,27,28--29,24,21,-,-,23,32
67,121,-,-,22--23,-,18--19,20,22,31
66,118--120,25--26,27,21,20,-,-,-,-
65,114--117,24,-,-,-,16--17,-,21,30
64,111--113,-,26,20,19,-,19,20,-
63,107--110,23,-,-,-,15,-,-,29
62,104--106,22,-,19,18,-,-,19,28
61,103,21,25,18,-,14,18,-,-
60,102,-,-,-,-,-,-,-,27
59,101,20,-,17,17,13,17,18,26
58,99--100,-,24,-,-,-,-,-,25
57,97--98,19,-,16,16,-,-,17,24
56,96,-,-,-,-,12,16,-,23
55,94--95,18,23,-,-,-,-,-,22
54,93,-,-,-,-,-,-,16,-
53,92,17,22,15,15,-,15,-,21
52,91,-,-,-,-,11,-,-,20
51,90,16,-,-,-,-,-,-,18--19
50,89,-,21,-,-,-,-,15,17
49,88,15,-,14,14,-,14,-,16
48,-,-,20,-,-,-,-,-,15
47,87,14,-,-,-,-,-,14,14
46,-,-,-,-,-,-,-,-,13
45,86,-,19,13,-,-,13,-,12
44,85,13,-,-,13,-,-,13,-
43,84,-,18,-,-,10,-,-,11
42,-,-,-,-,-,-,-,-,-
41,83,12,17,-,-,-,-,12,-
40,81--82,-,-,12,12,-,-,-,-
39,80,-,-,-,-,-,12,-,-
38,79,11,16,-,-,-,-,11,-
37,78,-,-,-,-,-,-,-,10
36,76--77,-,15,11,11,-,-,-,-
35,75,-,-,-,-,-,-,-,-
34,74,-,-,-,-,-,11,-,-
33,73,10,14,-,-,-,-,-,-
32,72,-,13,-,-,-,-,10,-
31,69--71,-,-,10,10,-,-,-,-
30,-,-,12,-,-,-,-,-,-
29,65--68,-,-,-,-,-,10,-,-
28,63--64,-,11,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,60--62,-,10,-,-,-,-,-,-
