T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,27--40,26--40,-,-,32--40,163--240,31--40,-,40
74,26,24--25,37--40,-,31,155--162,-,-,30--39
73,25,-,-,-,-,152--154,29--30,33--40,-
72,24,23,-,31--40,29--30,145--151,27--28,-,27--29
71,23,22,31--36,30,-,139--144,26,30--32,26
70,22,21,29--30,28--29,28,136--138,25,29,25
69,21,20,28,27,27,132--135,24,27--28,24
68,20,-,27,25--26,26,128--131,23,26,23
67,-,19,25--26,24,-,123--127,-,25,22
66,19,-,24,23,25,119--122,22,24,21
65,-,18,23,22,24,116--118,21,23,-
64,18,-,22,21,-,113--115,20,22,20
63,17,17,-,-,23,110--112,-,-,19
62,-,-,21,20,22,107--109,19,21,-
61,-,16,20,19,-,104--106,-,20,18
60,16,-,19,-,21,101--103,18,19,17
59,-,15,-,18,-,99--100,-,-,-
58,15,-,18,17,20,97--98,17,18,16
57,-,-,-,-,-,94--96,-,-,-
56,-,14,17,16,19,92--93,16,17,-
55,14,-,-,-,-,90--91,-,-,15
54,-,-,16,15,18,88--89,-,16,-
53,-,13,-,-,-,87,15,-,14
52,13,-,15,-,17,85--86,-,15,-
51,-,-,-,14,-,83--84,-,-,-
50,-,-,-,-,16,81--82,14,-,13
49,12,12,14,-,-,80,-,14,-
48,-,-,-,13,-,78--79,-,-,-
47,-,-,13,-,15,77,13,-,-
46,-,-,-,-,-,75--76,-,13,12
45,-,-,-,12,-,74,-,-,-
44,11,11,-,-,14,73,-,-,-
43,-,-,12,-,-,72,12,12,-
42,-,-,-,-,-,70--71,-,-,11
41,-,-,-,11,13,69,-,-,-
40,-,-,-,-,-,68,-,-,-
39,10,10,11,-,-,67,-,11,-
38,-,-,-,-,12,66,11,-,-
37,-,-,-,-,-,65,-,-,10
36,-,-,-,10,-,64,-,-,-
35,-,-,-,-,11,63,-,10,-
34,-,-,10,-,-,62,-,-,-
33,-,-,-,-,-,61,10,-,-
32,-,-,-,-,-,60,-,-,-
31,-,-,-,-,10,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
