T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,-,-,-
72,120--240,24--40,30--40,23--40,22--40,19--40,23--40,22--40,28--40
71,-,-,-,-,-,-,-,-,-
70,112--119,21--23,27--29,21--22,20--21,18,22,21,-
69,-,-,-,-,-,-,-,-,27
68,111,-,25--26,20,-,17,-,20,-
67,-,-,-,-,-,-,20--21,-,26
66,110,20,-,-,-,16,-,-,-
65,108--109,-,-,19,19,-,-,19,25
64,105--107,-,24,-,-,-,19,-,-
63,102--104,-,-,18,-,15,-,-,24
62,101,19,-,-,18,-,18,18,23
61,100,-,23,17,-,-,-,-,-
60,98--99,-,-,-,-,14,-,17,-
59,97,18,-,-,-,-,17,16,22
58,96,-,22,-,17,13,-,-,-
57,95,-,-,16,-,-,-,-,-
56,93--94,17,21,-,-,-,16,15,21
55,91--92,-,20,-,16,-,-,-,20
54,90,16,-,15,-,-,-,14,-
53,88--89,-,-,-,15,12,-,-,19
52,-,15,19,-,-,-,15,-,18
51,87,-,-,14,-,-,-,13,-
50,86,-,-,-,14,-,-,-,17
49,85,14,18,-,-,-,-,-,-
48,84,-,-,13,-,11,14,-,16
47,-,13,-,-,-,-,-,12,15
46,83,-,17,-,13,-,-,-,-
45,82,-,-,-,-,-,-,-,-
44,80--81,-,16,-,-,-,13,11,14
43,79,12,-,12,-,-,-,-,-
42,78,-,15,-,12,-,-,-,13
41,77,-,-,-,-,-,-,-,12
40,76,-,-,-,-,10,12,-,-
39,-,11,-,-,-,-,-,-,11
38,75,-,14,-,-,-,-,-,-
37,-,-,-,11,11,-,-,10,-
36,72--74,-,13,-,-,-,11,-,-
35,-,-,-,-,-,-,-,-,10
34,70--71,-,-,-,-,-,-,-,-
33,-,-,12,-,-,-,-,-,-
32,66--69,10,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,64--65,-,11,10,10,-,-,-,-
29,-,-,-,-,-,-,10,-,-
28,-,-,-,-,-,-,-,-,-
27,60--63,-,10,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
