scale,n,mean,sd
TOT_raw,604,84.38,20.48
SOC_raw,604,16.68,4.56
VIS_raw,604,13.83,4.06
HEA_raw,604,15.04,4.53
TOU_raw,604,14.43,3.83
TS_raw,604,15.1,4.67
BOD_raw,604,12.91,3.61
BAL_raw,604,13.07,3.96
PLA_raw,604,14.57,4.53
