scale,n,mean,sd
VIS_raw,711,15.95,4.37
HEA_raw,711,18.63,5.28
TOU_raw,711,17.4,4.42
TS_raw,711,17.44,4.46
BOD_raw,711,13.98,3.98
BAL_raw,711,16.4,4.81
TOT_raw,711,99.79,21.92
PLA_raw,711,16.6,4.9
SOC_raw,711,18.16,4.4
