age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
21.00 to 30.99 years,234,99.82,19.65,NA,36,111.64,20.12,NA,-11.82,-0.59
31.00 to 40.99 years,250,95.9,16.54,-0.22,34,101.53,23.79,-0.46,-5.63,-0.28
41.00 to 50.99 years,131,97.8,23.67,0.09,29,105.62,25.37,0.17,-7.82,-0.32
51.00 to 64.99 years,96,103.07,21.68,0.23,33,104,27.72,-0.06,-0.93,-0.04
65.00 to 99.99 years,46,102.3,23.56,-0.03,21,100.71,18.78,-0.14,1.59,0.08
