mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,07 to 10.5 mo,3,95.33,7.64,,0.45
"",09.5 to 20 mo,252,90.9,16.25,-0.37,0.16
"",21 to 31.5 mo,167,84.4,13.99,-0.43,-0.25
Gender,Male,210,89.18,17.37,,0.05
"",Female,212,87.55,13.76,-0.1,-0.05
SES,Did not complete high school (no diploma),17,94.65,24.05,,0.4
"",High school graduate (including GED),96,91.35,18.02,-0.16,0.19
"",Some college or associate degree,142,89.27,15.93,-0.12,0.06
"",Bachelor's degree or higher,167,85.23,12.06,-0.29,-0.2
Ethnicity,Hispanic,114,87.96,14.3,,-0.03
"",Asian,7,95.57,16.21,0.5,0.46
"",Black,48,87.96,23.63,-0.38,-0.03
"",White,206,88.12,13.33,0.01,-0.02
"",AmericanIndAlaskanNat,2,109.5,24.75,1.12,1.35
"",NativeHawPacIsl,1,108,,,1.25
"",MultiRacial,41,88.88,18.33,,0.03
"",Other,3,81.67,5.86,-0.6,-0.43
Region,northeast,49,88.2,15.1,,-0.01
"",midwest,103,85.87,19.49,-0.13,-0.16
"",south,155,89.25,14.64,0.2,0.06
"",west,114,89.54,13.18,0.02,0.08
