mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,03.5 to 10 mo,363,89.09,18.1,,0.04
"",11 to 31.5 mo,507,88,16.5,-0.06,-0.03
Gender,Male,415,87.93,17.17,,-0.03
"",Female,455,88.93,17.2,0.06,0.03
SES,Did not complete high school (no diploma),31,82.84,19.68,,-0.33
"",High school graduate (including GED),172,85.71,18.47,0.15,-0.16
"",Some college or associate degree,234,90.64,18.34,0.27,0.13
"",Bachelor's degree or higher,433,88.77,15.57,-0.11,0.02
Ethnicity,Hispanic,196,85.88,17.2,,-0.15
"",Asian,10,88.8,11.82,0.2,0.02
"",Black,89,83.03,21,-0.35,-0.32
"",White,498,89.32,15.76,0.34,0.05
"",AmericanIndAlaskanNat,1,101,,,0.73
"",NativeHawPacIsl,1,146,,,3.35
"",MultiRacial,69,95.06,18.12,,0.38
"",Other,6,92.5,20.61,-0.13,0.24
Region,northeast,79,90.73,17.38,,0.13
"",midwest,203,86.41,18.06,-0.24,-0.12
"",south,385,88.84,17.24,0.14,0.02
"",west,202,88.95,15.98,0.01,0.03
