T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-
71,169--240,-,30--40,31--40,26--40,35--40,31--40,25--40,30--40
70,-,-,-,-,-,-,-,-,-
69,124--168,28--40,21--29,23--30,23--25,22--34,22--30,22--24,29
68,-,-,-,-,-,-,-,-,-
67,113--123,-,20,22,18--22,19--21,-,19--21,21--28
66,111--112,-,17--19,-,17,-,18--21,18,20
65,94--110,27,16,19--21,-,16--18,-,17,-
64,88--93,26,-,-,16,15,-,-,19
63,86--87,25,15,17--18,15,14,17,16,18
62,85,-,-,-,14,13,16,15,17
61,80--84,23--24,-,16,-,-,-,-,-
60,79,22,-,-,-,12,15,14,16
59,78,21,-,15,13,-,14,-,-
58,76--77,20,14,-,-,-,13,13,-
57,74--75,19,-,-,-,-,-,-,15
56,73,18,-,14,-,-,12,12,14
55,72,-,13,-,12,11,-,-,13
54,71,17,-,-,-,-,-,-,-
53,70,-,-,-,-,-,11,11,-
52,69,16,-,13,-,-,-,-,12
51,-,-,12,-,-,-,-,-,-
50,68,15,-,-,11,-,-,-,-
49,-,14,-,12,-,-,-,-,-
48,67,-,-,-,-,-,-,-,11
47,66,-,-,-,-,-,-,-,-
46,-,13,11,-,-,-,-,-,-
45,65,-,-,11,-,10,-,-,-
44,64,12,-,-,-,-,10,10,-
43,-,-,-,-,-,-,-,-,-
42,63,-,-,-,-,-,-,-,-
41,-,11,-,-,10,-,-,-,10
40,61--62,-,-,-,-,-,-,-,-
39,-,-,10,10,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-
36,-,10,-,-,-,-,-,-,-
35,60,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
